UF;Ano;Plantada;Colhida;Valor prod;nº trab;Sal. Médio;VBP;CI;VAB
Bahia;2020;4139407;4094295;27638906;86450;1541;42123;15495;26628
Minas Gerais;2014;5466054;5368786;25989299;238056;1227;46766;25250;21516
Minas Gerais;2015;5427622;5334772;27050897;239610;1334;49738;29174;20564
Minas Gerais;2016;5534141;5373130;38079674;238095;1449;62850;33492;29358
Minas Gerais;2017;5296173;5240285;31197353;236577;1539;55371;30764;24606
Minas Gerais;2018;5351586;5311185;35033292;234838;1584;60852;37826;23026
Minas Gerais;2019;5627003;5560336;34339589;225446;1614;61207;39093;22113
Minas Gerais;2020;5833639;5800675;47514394;223740;1708;84445;49558;34887
Espírito Santo;2014;658030;657624;4749596;29245;1088;5596;2123;3473
Espírito Santo;2015;652000;644523;4752700;29545;1165;5768;2245;3523
Espírito Santo;2016;616289;613805;5339113;27140;1258;6286;2251;4034
Espírito Santo;2017;584314;584247;5420105;28071;1327;6590;2335;4255
Espírito Santo;2018;567298;558885;6334403;28187;1374;7509;3325;4184
Espírito Santo;2019;558348;558258;5986518;28581;1411;7381;3422;3959
Espírito Santo;2020;565189;565046;7359736;25921;1452;9058;4008;5049
Rio de Janeiro;2014;170898;170600;1240929;21284;1220;3300;928;2372
Rio de Janeiro;2015;148585;148284;1292797;19885;1365;3519;1021;2498
Rio de Janeiro;2016;123978;123939;1274184;19043;1484;3611;1080;2531
Rio de Janeiro;2017;116185;113891;1242466;18682;1588;3415;1067;2348
Rio de Janeiro;2018;109610;109210;1211024;18518;1612;3578;1171;2407
Rio de Janeiro;2019;113402;113309;1299224;18215;1359;3660;1226;2435
Rio de Janeiro;2020;112457;112252;1472959;17150;1360;4440;1453;2988
São Paulo;2014;8333777;8320378;37236008;303825;1565;50414;24101;26313
São Paulo;2015;8479029;8425060;39617847;312408;1697;54087;28655;25432
São Paulo;2016;8631378;8624268;52123637;290831;1818;65789;30886;34904
São Paulo;2017;8824386;8820082;53158479;311899;1901;66355;30678;35677
São Paulo;2018;8654621;8650001;53045805;298237;1940;66044;35305;30739
São Paulo;2019;8871308;8842804;55553978;296971;1936;71024;38675;32349
São Paulo;2020;8863353;8857885;67960014;286503;2015;87719;44213;43506
Paraná;2014;10714999;10704717;32410758;92979;1438;46101;19378;26723
Paraná;2015;10626220;10619322;33624911;96356;1564;51066;23484;27582
Paraná;2016;10732006;10704291;40157076;93653;1715;57855;25149;32706
Paraná;2017;10658069;10614860;38606329;92857;1829;57230;24957;32273
Paraná;2018;10477235;10451016;41137494;89453;1896;62654;28459;34195
Paraná;2019;10671580;10639983;40677808;86666;1935;62378;30186;32192
